,,January,March,March,March,May,May,May,August,,,,October,,November,,,,,,,,,,
,,Eldoret Open Chess Championship GrandPrix Ciruit,Kisumu Open Chess Championship 2026,"2nd Edition, Mavens Open International Chess Championship 2026",2026 Sataranji Africa Chess Festival,2026 Kiambu Open Chess Championship,2026 Kakamega Open Chess Championship,Quo Vadis Nyeri Chess Open 2026,,"
1st Nairobi Chess Club Grand Prix - Ladies",,,,,,,,,,,,,,,
FIDE ID,Name,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,,Rp,,,Best ,2nd Best,3rd Best ,4th Best ,Number of Events,Number of events,AVRG/4 EVENTS,Avrg/Events Played
10846972,Magana Sheryll Wamaitha,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10839810,"Atieno, Michelle Otieno",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10802274,Mwikali Dalphane,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10890700,"Langat, Mirriam",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10836730,"Jakharia, Siddhi Vishal",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10833749,"Kirema, Bridget Kagwiria",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10817239,Ayanah Gachago,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
,"Marion, Ngati",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896759,"Cherop, Kimberly",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10816534,"Kariuki, Neema",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10842624,Mushila Angel Khasiani,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10890912,"Koech, Noreen Cherono",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898026,Grace Ombitsa,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10862439,"Atarah Wright,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896791,"Mongina, Ruth",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896783,"Koima, Mercy",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10864431,Keisha Sifa Gitau,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896732,"Chepkirui, Stacy",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10862722,"Dhotty, Priscillah",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899375,Cindy Khalayi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10894225,"Ndarwa, Sylvia Wanjiru",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10846026,"Mutua, Angel",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10880194,"Sifa, Ziki",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898190,Georginah Wangechi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10839240,Wambui Shirley,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10846557,"Rotich, Noella",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10836136,Serede Bridgit Kavosi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10882707,"Trendavillea, Ondessea",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10860142,Bliss Pendo,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10836543,"Murithi, Faith Muthoni",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10860410,"Delvie Achieng,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
,Brittney Favor Muriga,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896775,"Jepleting, Joyline",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10885145,"Zawadi Zoe Ebba,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897666,"Kerubo, Mirelle",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10893210,"Kitonga, Mercy Mutethya",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896740,"Cherobon, Yvonne",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10836829,"Kendi, Ella Adana",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896767,"Cherotich, Yvette",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10881220,Talia Tamara Waweru,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896708,"Atieno, Valarie",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896716,"Chantelle, Chepchirchir",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898255,Leticia Wairimu,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898506,"Karuga, Cynthia",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898050,Lynn Joy Nyamahi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896295,"Ajackaa, Lumoni Nicole",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10838112,Miriti Angela Kendi,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554010659,Precious Makena,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
,"Chebet, Staisy",,,,,,,,1654,,,,,,,,,,,,,,,,
,"Rachier, Ivy",,,,,,,,1546,,,,,,,,,,,,,,,,
