,,January,March,March,March,May,May,May,August,,,,October,,November,,,,,,,,,,
,,Eldoret Open Chess Championship GrandPrix Ciruit,Kisumu Open Chess Championship 2026,"2nd Edition, Mavens Open International Chess Championship 2026",Sataranji Open Chess Championship 2026,2026 Kiambu Open Chess Championship,2026 Kakamega Open Chess Championship,Quo Vadis Nyeri Chess Open 2026,,"
1st Nairobi Chess Club Grand Prix - Open",,,,,,,,,,,,,,,
FIDE ID,Name,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,,Rp,,,Best ,2nd Best,3rd Best ,4th Best ,Number of Events,Number of events,AVRG/4 EVENTS,Avrg/Events Played
10829326,"Chitundu, Limbikani",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899235,"Christian Karanja,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10858830,"Christian, Onyonyi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10830987,Chvoro Viacheslav,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10887970,"Clement, Muriuki",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897810,"Clinton, Muriithi Munene",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10897836,Daniel Mungao,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10898891,"Daniel, Shima",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554006902,David Paul,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10835059,David Shammah,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10847855,"David, Mwangi",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10861521,"David, Praise",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
554002478,"David, Simiyu",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896872,"Dennis, Kipngok",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10894896,Derry Maari,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10818405,Dominic Carlos Kiema,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10861580,Donald Mugo,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10899219,"Douglas Ombuya,",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896880,"Durga, Guttula",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10859080,Earl Shumy Oruo,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10819673,"Edwin, Koech",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10891692,Elikaseed Quick,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10891790,Elvis Kipkorir,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10847880,Elvis Munene,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10896899,"Elvis, Waiguru",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
,Emmanuel Melvin Pesa,,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
10882430,"Emmanuel, Kwambai",,,,,,,,,,,,,,,,,,,,,0,Played 0 Events,,0
